ID,Repository Link,Remote Configuration File Link,Local Configuration File Link,Project,Category,Sub-Category,Stage,Entity,Message,Line-Number,Configuration File Name,Owner,Repository Name
rbertoncelj__wildfly-singleton-service__Versioning__com-bertoncelj-wildflysingletonservice-wildfly-singleton-service-1-2-2-SNAPSHOT__org-jboss-spec-javax-ejb-jboss-ejb-api_3-2_spec__missing,https://gitlab.com/rbertoncelj/wildfly-singleton-service,https://gitlab.com/rbertoncelj/wildfly-singleton-service/blob/master/pom.xml,/home/xxx/fse-submission/linter_configfiles/rbertoncelj__wildfly-singleton-service/pom.xml,rbertoncelj__wildfly-singleton-service,Versioning,missing,,org.jboss.spec.javax.ejb/jboss-ejb-api_3.2_spec,version specifier is missing,81,pom.xml,rbertoncelj,rbertoncelj/wildfly-singleton-service
rbertoncelj__wildfly-singleton-service__Versioning__com-bertoncelj-wildflysingletonservice-wildfly-singleton-service-1-2-2-SNAPSHOT__org-jboss-spec-javax-servlet-jboss-servlet-api_3-1_spec__missing,https://gitlab.com/rbertoncelj/wildfly-singleton-service,https://gitlab.com/rbertoncelj/wildfly-singleton-service/blob/master/pom.xml,/home/xxx/fse-submission/linter_configfiles/rbertoncelj__wildfly-singleton-service/pom.xml,rbertoncelj__wildfly-singleton-service,Versioning,missing,,org.jboss.spec.javax.servlet/jboss-servlet-api_3.1_spec,version specifier is missing,114,pom.xml,rbertoncelj,rbertoncelj/wildfly-singleton-service
rbertoncelj__wildfly-singleton-service__Versioning__com-bertoncelj-wildflysingletonservice-wildfly-singleton-service-1-2-2-SNAPSHOT__org-jboss-arquillian-junit-arquillian-junit-container__missing,https://gitlab.com/rbertoncelj/wildfly-singleton-service,https://gitlab.com/rbertoncelj/wildfly-singleton-service/blob/master/pom.xml,/home/xxx/fse-submission/linter_configfiles/rbertoncelj__wildfly-singleton-service/pom.xml,rbertoncelj__wildfly-singleton-service,Versioning,missing,,org.jboss.arquillian.junit/arquillian-junit-container,version specifier is missing,125,pom.xml,rbertoncelj,rbertoncelj/wildfly-singleton-service
rbertoncelj__wildfly-singleton-service__Versioning__com-bertoncelj-wildflysingletonservice-wildfly-singleton-service-1-2-2-SNAPSHOT__org-jboss-arquillian-protocol-arquillian-protocol-servlet__missing,https://gitlab.com/rbertoncelj/wildfly-singleton-service,https://gitlab.com/rbertoncelj/wildfly-singleton-service/blob/master/pom.xml,/home/xxx/fse-submission/linter_configfiles/rbertoncelj__wildfly-singleton-service/pom.xml,rbertoncelj__wildfly-singleton-service,Versioning,missing,,org.jboss.arquillian.protocol/arquillian-protocol-servlet,version specifier is missing,136,pom.xml,rbertoncelj,rbertoncelj/wildfly-singleton-service
shashankchakelam__NamoDB__Versioning__gitlabyaml__virtualenv__missing,https://gitlab.com/shashankchakelam/NamoDB,https://gitlab.com/shashankchakelam/NamoDB/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/shashankchakelam__NamoDB/.gitlab-ci.yml,shashankchakelam__NamoDB,Versioning,missing,,virtualenv,version specifier is missing,15,.gitlab-ci.yml,shashankchakelam,shashankchakelam/NamoDB
mayan-edms__cookiecutter-mayan__Versioning__gitlabyaml__cookiecutter__missing,https://gitlab.com/mayan-edms/cookiecutter-mayan,https://gitlab.com/mayan-edms/cookiecutter-mayan/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/mayan-edms__cookiecutter-mayan/.gitlab-ci.yml,mayan-edms__cookiecutter-mayan,Versioning,missing,,cookiecutter,version specifier is missing,4,.gitlab-ci.yml,mayan-edms,mayan-edms/cookiecutter-mayan
chamilotools__chamilotools__Versioning__requirementstxt__mediawiki__missing,https://gitlab.com/chamilotools/chamilotools,https://gitlab.com/chamilotools/chamilotools/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/chamilotools__chamilotools/requirements.txt,chamilotools__chamilotools,Versioning,missing,,mediawiki,version specifier is missing,1,requirements.txt,chamilotools,chamilotools/chamilotools
chamilotools__chamilotools__Versioning__requirementstxt__xlrd__missing,https://gitlab.com/chamilotools/chamilotools,https://gitlab.com/chamilotools/chamilotools/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/chamilotools__chamilotools/requirements.txt,chamilotools__chamilotools,Versioning,missing,,xlrd,version specifier is missing,2,requirements.txt,chamilotools,chamilotools/chamilotools
chamilotools__chamilotools__Versioning__requirementstxt__xlwt__missing,https://gitlab.com/chamilotools/chamilotools,https://gitlab.com/chamilotools/chamilotools/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/chamilotools__chamilotools/requirements.txt,chamilotools__chamilotools,Versioning,missing,,xlwt,version specifier is missing,3,requirements.txt,chamilotools,chamilotools/chamilotools
chamilotools__chamilotools__Versioning__requirementstxt__bs4__missing,https://gitlab.com/chamilotools/chamilotools,https://gitlab.com/chamilotools/chamilotools/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/chamilotools__chamilotools/requirements.txt,chamilotools__chamilotools,Versioning,missing,,bs4,version specifier is missing,4,requirements.txt,chamilotools,chamilotools/chamilotools
