project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
thelabnyc/django-exact-target,thelabnyc,Python,true,false,false,1,false,true,false,false,39
apetitbois/electron-polymer,apetitbois,HTML,true,false,false,1,true,false,false,false,17
jxml/JXML,jxml,Java,true,false,false,1,false,true,false,false,6
relan/elektrichki,relan,Java,true,false,false,1,false,true,false,false,26
ymorin/buildroot,ymorin,Makefile,true,false,false,1,false,true,false,false,502
zloster/zloster.gitlab.io,zloster,CSS,true,false,false,1,false,false,true,false,16
aniemsh/aniemsh.gitlab.io,aniemsh,HTML,true,false,false,1,false,true,false,false,12
pendingchaos/Celery,pendingchaos,C,true,false,false,1,false,false,true,false,14
YerkoPalma/YerkoPalma.gitlab.io,YerkoPalma,JavaScript,true,false,false,1,false,false,true,false,11
DarkDNA/gentoo-overlay,DarkDNA,Shell,true,false,false,1,false,true,false,false,8
bconway/go-resteasy,bconway,Ruby,true,false,false,1,false,true,false,false,19
anspress/anspress,anspress,PHP,true,false,false,1,false,true,false,false,45
maratkalibek/rf-gitlab,maratkalibek,RobotFramework,true,false,false,1,false,true,false,false,11
phunehehe/foomail,phunehehe,JavaScript,true,false,false,1,false,true,false,false,12
xuv/git-visualization-for-designers,xuv,HTML,true,false,false,1,false,true,false,false,10
dvd0101/amaze-chemaze,dvd0101,C,true,false,false,2,true,true,false,false,28
ercom/codebeautifier,ercom,Shell,true,false,false,2,true,true,false,false,83
htfy96/network_algo,htfy96,C++,true,false,false,1,false,true,false,false,12
gregwinn/ystock,gregwinn,Ruby,true,false,false,1,false,true,false,false,17
benoitldr/cours-maths-blandrieu,benoitldr,TeX,true,false,false,1,false,true,false,false,11
tnir/centos-for-ci,tnir,,true,false,false,1,false,true,false,false,36
thelabnyc/django-oscar/django-oscar-bluelight,thelabnyc,Python,true,false,false,1,false,true,false,false,84
michael.lill/foodcoop,michael.lill,TypeScript,true,false,false,1,false,true,false,false,13
s2u/s2u-firewall,s2u,PHP,true,false,false,1,false,false,true,false,13
build-docker-images/odoo-docker-builder,build-docker-images,Shell,true,false,false,1,false,false,false,false,29
exarh-team/skaro-qml,exarh-team,C++,true,false,false,1,false,false,true,false,7
smart-city-platform/resource-adaptor,smart-city-platform,Ruby,true,false,false,1,false,true,false,false,41
sqlobject/sqlobject.gitlab.io,sqlobject,HTML,true,false,false,1,false,false,true,false,11
GustavoARod/bank-demo,GustavoARod,Java,true,false,true,1,false,true,false,false,6
minzhang/gitci_test,minzhang,,true,false,false,3,true,true,false,false,33
Gluttton/PslRK,Gluttton,C++,true,false,false,12,false,false,false,false,145
smart-city-platform/resources-catalog,smart-city-platform,Ruby,true,false,false,1,false,true,false,false,13
duncan-bayne/toy-robot,duncan-bayne,Ruby,true,false,false,1,false,true,false,false,8
unq-ing-laannn/qflix,unq-ing-laannn,Ruby,true,false,false,1,false,true,false,false,14
SouWilliams/docker-gitlab,SouWilliams,Shell,true,false,false,1,false,true,false,false,5
pallavagarwal07/pallavagarwal07.gitlab.io,pallavagarwal07,HTML,true,false,false,1,false,false,true,false,14
bchevalier/gitutils,bchevalier,Shell,true,false,false,2,false,true,true,false,47
cage1016/gae-flask,cage1016,Python,true,true,false,2,false,true,true,false,23
jimakker/appkg,jimakker,JavaScript,true,false,false,1,false,true,false,false,12
victorhck/git_chuleta_comandos,victorhck,JavaScript,true,false,false,1,false,true,false,false,10
mobilinepl/fedoraprovisioning,mobilinepl,Shell,true,false,false,1,false,true,false,false,20
eternalconstruct/analyst,eternalconstruct,Swift,true,false,false,1,true,false,false,false,13
sycom/sycom.gitlab.io,sycom,HTML,true,false,false,1,false,false,true,false,11
courses-online/materialize,courses-online,HTML,true,false,false,1,false,true,false,false,10
Boelensman1/SpaceS-DB-Frontend,Boelensman1,JavaScript,true,false,false,3,true,true,false,false,32
Zatherz/minifs,Zatherz,MoonScript,true,false,false,1,false,false,true,false,10
infmagic2047/minetest-lexip16,infmagic2047,Python,true,false,false,1,false,true,false,false,10
orobardet/3DPTools,orobardet,HTML,true,false,false,2,true,false,false,false,162
SpaceTrucker/modular-spring-contexts,SpaceTrucker,Java,true,false,true,1,false,true,false,false,8
brenddongontijo/SMI-UnB,brenddongontijo,Python,true,true,false,1,false,true,false,false,18
pank/org-mode-gitlab-pages,pank,EmacsLisp,true,false,false,1,false,true,false,false,8
thelabnyc/django-oscar/django-oscar-wfrs,thelabnyc,Python,true,true,false,1,false,true,false,false,65
seanclayton/neato,seanclayton,JavaScript,true,false,false,2,true,true,false,false,35
tsgkdt/sphinx-plantuml,tsgkdt,Python,true,true,false,1,true,false,false,false,16
drdaeman/firesync,drdaeman,Python,true,true,false,2,true,false,false,true,36
burke-software/simple-asymmetric-python,burke-software,Python,true,true,false,1,false,true,false,false,8
OpenMusicKontrollers/moony.lv2,OpenMusicKontrollers,C,true,false,false,3,true,true,true,false,155
welcheb/docker_slides2txt,welcheb,Shell,true,false,false,2,true,true,false,false,34
dromi/dromi,dromi,Go,true,false,false,2,true,true,false,false,23
dragonislands/web,dragonislands,HTML,true,false,false,1,false,false,true,false,13
coala/coala-bear-management,coala,Python,true,true,false,1,false,true,false,false,11
jangorecki/macrobenchmark,jangorecki,R,true,false,false,2,false,true,true,false,34
jmabey/docker-sqitch,jmabey,Makefile,true,false,false,1,true,false,false,false,29
docker-tor/tor-browser,docker-tor,Shell,true,false,false,1,true,false,false,false,16
jensastrup/pyOutlook,jensastrup,Python,true,true,false,1,false,false,false,false,29
sycom/userScripts,sycom,JavaScript,true,false,false,1,false,false,true,false,11
kaliko/mkdocs-cluster,kaliko,HTML,true,false,false,1,false,true,false,false,20
xinef/brainy-config-frontend,xinef,JavaScript,true,false,false,1,false,true,false,false,15
lechuckcaptain/discount-ascii-warehouse,lechuckcaptain,Java,true,false,false,1,false,true,false,false,33
chubbssolutions/hnbot,chubbssolutions,Go,true,false,false,1,false,false,false,false,34
improbible/improbible,improbible,JavaScript,true,false,false,1,false,false,false,false,49
xinef/brainy-config-backend-java,xinef,Java,true,false,false,1,false,true,false,false,5
dockdogs/dockdogs-affiliate-handbook,dockdogs,JavaScript,true,false,false,1,false,true,false,false,12
jzelner/hotspotr,jzelner,CSS,true,false,false,2,true,false,true,false,24
dlozeve/dlozeve.gitlab.io,dlozeve,CSS,true,false,false,1,false,true,false,false,10
ananthurv/finite-automaton,ananthurv,JavaScript,true,false,false,1,false,true,false,false,6
bnc9/map-publish,bnc9,JavaScript,true,false,false,1,false,true,false,false,10
